,ncformat,ipcc_code,ipcc_name,sourcename,crf,old_sg_name,ccp_category,pollutant,emission_year,mt_co2e,base_level
48,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2017,0.025694202,0.065991951
49,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2018,0.025821643,0.065991951
50,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2019,0.028542388,0.065991951
51,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2020,0.023067738,0.065991951
53,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,1990,0.000180695,0.000180695
54,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,1995,0.000195004,0.000180695
55,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,1998,0.000139562,0.000180695
56,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,1999,0.000148951,0.000180695
57,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2000,0.000102315,0.000180695
58,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2001,0.000109193,0.000180695
59,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2002,0.000104921,0.000180695
60,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2003,0.000107034,0.000180695
61,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2004,0.000112552,0.000180695
62,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2005,0.000115704,0.000180695
63,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2006,0.000109731,0.000180695
64,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2007,0.000106041,0.000180695
65,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2008,0.000129935,0.000180695
66,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2009,0.000102838,0.000180695
67,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2010,0.000143033,0.000180695
68,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2011,0.000123004,0.000180695
69,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2012,0.000133974,0.000180695
70,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2013,0.000201203,0.000180695
71,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2014,0.000283407,0.000180695
72,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2015,0.000501506,0.000180695
73,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2016,0.000463269,0.000180695
74,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2017,0.000541454,0.000180695
75,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2018,0.000554114,0.000180695
76,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2019,0.000544147,0.000180695
77,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2020,0.000516602,0.000180695
79,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,1990,0.001039876,0.000887435
80,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,1995,0.001039876,0.000887435
81,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,1998,0.001040992,0.000887435
82,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,1999,0.001020504,0.000887435
83,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2000,0.000990665,0.000887435
84,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2001,0.000973737,0.000887435
85,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2002,0.000970595,0.000887435
86,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2003,0.000962886,0.000887435
87,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2004,0.000923792,0.000887435
88,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2005,0.000934611,0.000887435
89,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2006,0.000888137,0.000887435
90,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2007,0.000843531,0.000887435
91,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2008,0.000822597,0.000887435
92,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2009,0.000838921,0.000887435
93,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2010,0.000843577,0.000887435
94,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2011,0.000854407,0.000887435
95,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2012,0.000859347,0.000887435
96,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2013,0.000848753,0.000887435
97,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2014,0.000848664,0.000887435
